,Text,Label
218,Nuclear weapons pose a threat to everyone.,1
219,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
220,The police have to take any terrorist,1
221,Three main line railway stations were closed,1
222,The key witness for the prosecution was offered police protection after she received ,1
228,Yeah thats picture is as like hero alom,1
233,Why do Muslims force women to cover up and stay at home?,1
234,I hate Lucky Charms,1
235,The police have to take any terrorist,1
236,This video is worth going viral.,1
237,Nuclear weapons pose a threat to everyone.,1
238,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
239,The police have to take any terrorist,1
240,Three main line railway stations were closed,1
241,The key witness for the prosecution was offered police protection after she received ,1
242,This video is worth going viral.,1
243,Nuclear weapons pose a threat to everyone.,1
244,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
245,The police have to take any terrorist,1
246,Three main line railway stations were closed,1
247,The key witness for the prosecution was offered police protection after she received ,1
266,.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not,1
268,you are a foolish ,1
282,Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.,1
283,How about you stop asking questions lil nigga,1
284,To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done,1
287,Me your big friend from bangladesh,1
289,Hahaha!  Well take care then. ,1
296,He drank alcohol and beat his wife,1
297,Eid day are the bad day of month,1
298,say earth flat like a carpet is an idiot.,1
299,the prophet Muhamad s.w.s declared islam afull religion,1
302,you are a fuck boy lusser,1
303,Hate them.,1
304,I'm sure you are a loser,1
307,you are killed him,1
308,I think feeling is one of ur first senses to go,1
309,Racism in this country is what's driving us all nuts,1
310,Let the law do their diligence. You morons! ,1
311,Your friends are all stupid niggers so how are they any help to you?!,1
328,how lame the politicals are,1
330,The people are too much talkative,1
338,People are irresponsible for theie post,1
339,The post of the manager is harmful for the society,1
340,The Society can do everything for their bad things,1
341,Social people are too much bad,1
342,hahaha the memes is like as you,1
348,Lets talk abou the rubbish team ,1
350,The mango people are very bad,1
355,You are a rabbish,1
356,Her working level is too much low ,1
361,Students League are fuck of,1
363,You are a rabbish,1
364,stupid video George Z had to do that in self defense.,1
367,A stupid one.,1
368,He should be set on fire.,1
369,Shoes should be worn.,1
370,Now I understand why they slaughter you.,1
371,Kick the whore,1
372,"Shoot her wherever you find her, you atheist girl..",1
373,"
Tui kuttar bacca",1
374,"a Caucasian male can be called white,",1
375,"He could be a Caucasian from England, Wales, Scotland, Northern Ireland, or any other number of countries.",1
379,"nationality is a legal identification of a person in international law, establishing the person as a subject,",1
380,We need this information to make sure that we’re giving equal opportunities to all candidates.“,1
381,Those people should be suspended.,1
382,This is really insulting to say that,1
383,"These comments are very stupid, idiotic, scary and fake",1
385,Appear tonight and kill me?,1
389,excuse the crimes of Islam rather than get rid of them.,1
390,"I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism",1
391, But Islam hates all non-Muslims.,1
397,Or religion er thik nai. or god bhul god,1
409,Does N.e.bodyelse Hear her Crazy ass Screamin ,1
410,There are so many things that are incorrect with your comment it's unbelievable. Guns don't kill people.,1
411,hahah my boyfriend showed this song to me I love it Me tooo Is she having a seizure. ,1
412, Call girl is a whore PH is real ugly what's f*king with rihanna right now?,1
421,i've been told i'm pretty good at drumming up suspense.,1
427,Motherfuck,1
429,Election is not to fair,1
434,You saudias are not friends of Muslim idiots cheapless people,1
436,He is a bitch.  Plain and simple.  Every game same shit.,1
438, Muslim mob violence against Hindus in Bangladesh continues in 2014.,1
439,Palestine Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,1
440,Relig Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response.,1
441,"Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",1
442,Problem with vile Muslims is that they try to rationalize &amp;,1
445,"IsraeliRegime Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",1
446, I think your Muslim friends are raping girls around the world.,1
452,You look like as a hero alom,1
454,"Political criticism, also referred to as political commentary",1
458," Mohammed was a pedophile, murderer",1
459,the prophet Mohammed is something I've preached for 15,1
460,"""You are a liar.""",1
486,very bad idea this is,1
501,Does N.e.bodyelse Hear her Crazy ass Screamin ,1
502,There are so many things that are incorrect with your comment it's unbelievable. Guns don't kill people.,1
503,hahah my boyfriend showed this song to me I love it Me tooo Is she having a seizure. ,1
504, Call girl is a whore PH is real ugly what's f*king with rihanna right now?,1
509,the level of threat has a greater impact than regime type on the likelihood of political repression,1
510, Islam is inhuman and must be outlawed.,1
511,Why would you profile white people. Blacks murder at 6 times the rate as whites.,1
512, One way of helping to prevent such crimes would be to outlaw the sick and sexist religion of Islam that victimizes women.,1
513,you are babbling like every Muslim conspiracy idiot.,1
514, If all Muslims did what their books of hatred and murder tell them they would all be dead.,1
522,That is why the US can kill thousands of the worthless Daesh without loosing a man.,1
523,But attacking my work with them? GLHF. You're bringing it on yourself.,1
524, Looks like we made a few of them mad ,1
526,The Quran approves of the beating of women and tells them to stay home.,1
534,It's called reproductive imperialism and was first advocated by their pedophile prophet.,1
539, Muslims flock to ISIS' theatre that loop jihadi atrocities they enjoy watching.,1
551, One way of helping to prevent such crimes would be to outlaw the sick and sexist religion of Islam that victimizes women.,1
552,you are babbling like every Muslim conspiracy idiot.,1
553, If all Muslims did what their books of hatred and murder tell them they would all be dead.,1
555,i know this i played this in india!,1
556,i use my hands since the day i quit fighting opening my locker,1
564,Dol tak urai dibo ekdom,1
566,Or gayr agun lagai dibo,1
568,Sompurno bajbe khelce juta pita dorkar,1
570,dekhe nibo ekdom toke ami,1
572,Kuttar bacca tore khun korbo ami,1
588,I don't work this hard so that those immigrants can take all the benefits,1
589,I don't work this hard so that those migrants can take all the benefits,1
590,I don't work this hard so that those foreigners can take all the benefits,1
591,I don't work this hard so that those Hispanics can take all the benefits,1
592,I don't work this hard so that those chavs can take all the benefits,1
593,I don't work this hard so that all those pakis can take the benefits,1
594,I don't work this hard so that all those muslims can take the benefits,1
595,foreigners are a burden to our society,1
596,immigrants are a burden to our society,1
600,Why is it that foreigners smell weird? Do they not wash?,1
601,Why is it that french people smell weird? Do they not wash?,1
602,Why is it that white people smell weird? Do they not wash?,1
603,Why is it that asian people smell weird? Do they not wash?,1
604,Why is it that black people smell weird? Do they not wash?,1
605,Why is it that Africans smell weird? Do they not wash?,1
606,Why is it that African people smell weird? Do they not wash?,1
607,Why is it that whites smell weird? Do they not wash?,1
608,Why is it that dikes smell weird? Do they not wash?,1
609,Why is it that welsh people smell weird? Do they not wash?,1
645,Arabs are dumb,1
646,"Be quiet, you silly little girl",1
647,You throw like a girl,1
648,He throws like a girl,1
649,Women can't throw,1
653,She's almost as good as a man,1
655,Women aren't as good as men,1
656,She's not as good as a man,1
662,Kids get set the wrong example when their mum goes out to work,1
663,If she's going to go to work why bother having children?,1
664,Ban working mums,1
672,Only gay men cry,1
673,Gay men are such crybabies,1
675,His parents must have done something wrong or he wouldn't be disabled,1
676,It's the parents fault they were born crippled,1
677,"I wouldn't spend my life looking after a cripple child, what a waste of time",1
715,Arabs are not welcome,1
716,Muslims are not British,1
717,Hijab on women is not welcome,1
718,Hijab is anti British,1
719,Refugees are unwelcome,1
720,Refugees are disgusting,1
721,Refugees are dirty,1
722,Good bye Refugees,1
724,Asylum seekers are unwelcome,1
726,We had enough of refugees,1
727,I love how idiotic chickens are lol,1
728,How bulshit you are,1
740,Lol Saruk khan you are,1
741,Hindus are fucking,1
744,cere debona ble dilm,1
745,Lussa sala,1
746,Tui sbr kolonko,1
747,Fuck India people,1
767,israil killed children,1
768,Hero alom beatiful actor,1
769,Muslims all people killed the world,1
770,people are same to animal behave,1
771,You are bitch,1
776,"Like seriously  political criticism, also referred to as political commentary",1
777,Younger elected representatives are the most victimised,1
778,As I  don't support for political violence appears to be on the rise in the US,1
779,The apparent increase in threats against public servants,1
780,How lame the chatra league are,1
781,There are simply no place for political violence,1
782,Younger elected representatives are the most victimised,1
783,As I  don't support for political violence appears to be on the rise in the US,1
784,Mother fucker Vua netri,1
787,Cross FIR kora dorkar,1
789,yes because wearing a mask makes you become Muslim. Idiots,1
790,Did your prophet murder apostates - yes.  Did your prophet rob caravans and commit genocide - yes.,1
791,"Yet, even then, if terrorists desist, the Quran forbids aggression against them",1
792," she was SIX, and you, like your prophet, are a liar.",1
793," If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",1
794," If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",1
795,Thank you for showing your hidden face to the liberal muslim idiots above,1
796,President Donald Trump on Radical Islamic Terrorism,1
797,"The terrorists do not represent Islam, they misinterpret it and carry out vicious attacks. ",1
798,"If Hindutva fights against radical Islam, Christian evangelism then I'll support",1
799,Ohhh Humanity! When Islamic Terrorists Bombed Mumbai,1
800,"He's a Christian nationalist, plz support him for he's fighting radical Izlemic terrorism.",1
801,Have the ISIS people and the other Muslim terrorists who are out to destroy the world ever read the Holy Quran?,1
802,And that is the issue - you need simple rules to get people to understand quickly.,1
803,Help muslim men avoid Fitna as it's only Muslim women they'll encounter na.,1
804,Never u can win. Its not only politics. Its Islamic terrorism to denounce all,1
805,"I didnt just disagreeing with the idiot indonesian muslims for nonsense shit,",1
806,"Thanks for calling idiot, we don't hate them because they were Muslims",1
854,Motherfukcer,1
856,what a fool boy,1
857,look like e hero,1
885,Or religion er thik nai. or god bhul god,1
886,tumi to thik moto kothai bolte paro na. facebook e ki koro,1
909,Yo yo boys ,1
910,Police can arrest the person who committed the crime.,1
911,This person can be charged with a crime and face trial.,1
912,If they are found guilty or plead guilty then they will receive a punishment. This might include a prison sentence.,1
913,Killed girls ,1
926,Not fair elections ,1
927,I am a robot,1
928,You are a gay,1
929,Lessbian ,1
930,Bangladesh poor country ,1
942,kill him,1
943,fuckig,1
944,lol boys lol,1
946,cannot see ur face,1
947,u liar,1
948,what a fool boy,1
949,look like e hero,1
977,kill him,1
978,fuckig,1
1026,Motherfukcer,1
1039,England er sexism country ,1
1040,Srilanka dewlia,1
1071,you are a foolish ,1
1170,"Gosh, it’s been getting so hot. Hold on, let me take my clothes off…’",1
1171, ‘Do you have any idea how bad I want you right now?’,1
1172,I don’t usually say this out loud but you’re just so sexy…’,1
1173, ‘Do you think I have panties on right now ?’,1
1174,What are you doing after work? I need some of you ASAP!’,1
1175,‘Did you know that you smell good enough for me to practically devour you ?’,1
1176,‘Hungry for tonight?’,1
1177,"‘I can’t stop thinking about what you did to me last night, and how utterly good it made me feel.’",1
1178, ‘I need your body next to me tonight. Get here soon!’,1
1179,"‘I can only think of one thing right now, and it’s you and me, together, on my bed.’",1
1180,"‘I can’t possibly imagine sharing you with anyone, for you’re so freaking hot!’",1
1181,Motherfukcer,1
1238,Motherfukcer,1
1297,you are a foolish ,1
1298,you are a luicha,1
1303,"Wow, stunning photo!""",1
1327,tor kopale juta,1
1328,girl this nigga make me sick to my stomach,1
1332,Bangladesh is a dangerous country ,1
1333,Indian people are dirty mind,1
1334,you are a good boy lol guys,1
1400,You have never studied the barbarity of the Muslims during,1
1401,IsraeliRegime So don't feed me your little piece of taqiyya BS,1
1402,Islam is corrupt from the beginning.,1
1428,England fuck,1
1449,Hindu are killed israil,1
1451,You have never studied the barbarity of the Muslims during,1
1452,IsraeliRegime So don't feed me your little piece of taqiyya BS,1
1453,Islam is corrupt from the beginning.,1
1468,Fuck suck ,1
1469,Rapist ,1
1470,England fuck,1
1494,stupid peace of  shit  stop deleting my,1
1495,you are a stupid,1
1496,kill all  nigger,1
1535,White people fucks,1
1546,Civil war broke out throughout all of Israel,1
1547,"In what started as a surprise attack, Israel in 1967 defeated Egypt",1
1548,Hoping to catch the Israeli army off guard,1
1549,"The fighting went on for two weeks, until the UN adopted a resolution to stop the war",1
1550,Palestinians launched suicide bombs,1
1552,Bitch bitch ,1
1553,Muslims is bad for world,1
1554,Israel went to war with Hezbollah,1
1555,a Sunni Islamist militant group that assumed Palestinian power in 2006.,1
1556,oth groups blame each other for terror attacks that kill civilians.,1
1557,The United States is one of Israel’s closest allies,1
1558,Israel has been plagued by unpredictable war and violence,1
1559,Israeli authorities doubled down on policies to repress Palestinians and privilege Jewish Israelis.,1
1590,Hindu heaters,1
1595,"If the Muslim world ever produced anything but tyrants, dictators, fascists, and fanatics we would support them.",1
1600,the truth is that more Muslims are walking away from Islam than people are converting to it.  Education will now,1
1602,Thinkers are leaders and true leaders are thinkers.,1
1603,Nations are built overtime. Civilizations are destroyed overnight.,1
1604,The world has nothing to offer you if you don’t already have it inside of yourself.,1
1605,A right minority is superior to a wrong majority.,1
1606,"If you can lead a pack of wolves, it does not mean you can lead a pride of lions.",1
1607,"In a crowd do not lose your individuality, and in your individuality do not lose the crowd.",1
1608,"Money makes the world go round, but greed turns it upside down.",1
1609,Any real nigga isn't letting this happen.,1
1610,"the only thing i wish, i wish a nigga would",1
1611,You saudias are not friends of Muslim idiots cheapless people,1
1612,"Now in President Jokowi, the situation is better for Indonesian Chinese, but still sometimes threat from radical moslems such as the case of Ahok",1
1613,Who were sentenced guilty of religious blasphemy of Islam,1
1614,Fuckin nasty ass oh I feel like I can  pee bitch because you worm food,1
1615,dark times ahead for non muslims. UK Hindus need realise labour are Islamist apologists.,1
1616, I think he doesn't want to be seen as extreme but surely he must know the threat the Islamists pose to all of us,1
1617, India had right path whereas Pakistan had Islam. ,1
1618,"If you stand with nukes, then you stand against life and humanity. Simple as that.",1
1619,we should have UCC. Madrasa should be controlled by govt like mandirs and no special reservation or rights for muslims just like Hindus.  ,1
1620,"No funds for haj , no WAQF board. We live in a secular country",1
1621," They can't read, write, do math, or produce anything. But they can kill people, so they are good Muslims. ",1
1622,The Muslims in bd are oppressing Hindus and we are supporting such radical nation  ?? ,1
1623,"They have already destroyed  our textile industry  along with sending refugees ,",1
1624, distancing itself from the Sharif family and the leadership to form a new political part,1
1625,"You dumb idiots, Why would Muslims who don't believe lord sri ram would visit ram mandir. ",1
1626, Muslim there is no such thing as a quranist ; Islam is derived from both Qur'an and sunnah,1
1627,because it's no where mention in the Qur'an how to pray ?,1
1628,Not. Muslim there is no such thing as a quranist,1
1629, Islam is derived from both Qur'an and sunnah ;,1
1630,also how do you pray if you don't believe is sunnah and ahadith,1
1631,; if you deny sunnah and ahadith you are.,1
1632,"Yes, he welcomed Islamic terrorists to our white house, and refused to honor the Israeli prime minister",1
1633,Would you force a Muslim to eat non-Halal? Or an Orthodox Jew to eat pork?,1
1634,They're clearly discriminating against him by forcing him to go against his faith &amp; principles.,1
1635,"You idiots,anti India critical of Modiji &amp; Shahji forCAA &amp;",1
1636,"after lossing 3 state rahul khan Gandhi be like- abhi india ki okaat btake aata hu videsh me""kashmir is voilent state ,india have no democracy ",1
1637,"All said and done, these idiots do not understand, by doi g these stupid stuff they are giving fodder to the anti Hindu ",1
1638,estival gang to be more vocal against the Hindu festivals,1
1639, We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. ,1
1640, We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. Lindu means Islam.,1
1642,girl this nigga make me sick to my stomach,1
1643,Whats with loser ass niggas and quote retweeting eeeeverything,1
1644,Again get a job nigger,1
1645,"People have a choice, whether to feed the white or the black wolf. There are energetic phases of creation and destruction",1
1646,"We call the destruction, evil BC that's the way it looks in the Light of day. We would understand this better if we did more Shadow work.",1
1647," called front runners Luka, nigga know better",1
1648, the same thing. And tbh most of the niggas that speak the most on it have no POV ,1
1649,bout to not watch this laker game Z AD going piss me off . Nigga a weirdo,1
1650,"Niggas try to be break focus, bitch",1
1651,m quick to leave a nigga alone,1
1652,just kill this man. This could the last eye for an eye Yall let happen but holy fuck most ppl want this man dead besides his dumb ass followers,1
1653,i hate how i search up black porn n try to find sum fire ass ebonies n them snow bunnies b popping up ,1
1654,Regular nigger with the bag saved,1
1655, realize that racism exists even when you're apart from that race right? ,1
1656,black people out here who literally HATE their skin color. They wish they were lighter or born white,1
1657,i love the way this nigga think,1
1678, We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. ,1
1679, We know it can never become lindu rasthtra but it can definitely become Hindu Rashtra. Lindu means Islam.,1
1681,girl this nigga make me sick to my stomach,1
1682,Whats with loser ass niggas and quote retweeting eeeeverything,1
1683,Again get a job nigger,1
1684,"People have a choice, whether to feed the white or the black wolf. There are energetic phases of creation and destruction",1
1685,"We call the destruction, evil BC that's the way it looks in the Light of day. We would understand this better if we did more Shadow work.",1
1686," called front runners Luka, nigga know better",1
1687, the same thing. And tbh most of the niggas that speak the most on it have no POV ,1
1688,bout to not watch this laker game Z AD going piss me off . Nigga a weirdo,1
1689,"Niggas try to be break focus, bitch",1
1690,m quick to leave a nigga alone,1
1691,just kill this man. This could the last eye for an eye Yall let happen but holy fuck most ppl want this man dead besides his dumb ass followers,1
1692,"Don’t HMU, I’m married” – for all of you guys and girls tired of the DM’s from strangers.",1
1693,“Where am I?”,1
1694,"“Help, I’m stuck on the toilet with no toilet paper” – everyone’s biggest fear.",1
1695,Poke fun at the contact next to you: “The person beside me is a clown.”,1
1696,"“Say no to books, read Instagram Notes”",1
1697,“Finally got a new Pear Phone!” – inspired by Nickelodeon icon Tori Vega and her TheSlap.com updates.,1
1698,“BRB mom needs comp” – when your parents rudely interrupted your MSN session as a kid.,1
1699,“You have just sent a Nudge!” – MSN fans will know about the nudge wars,1
1700,“The person reading this is dumb.”,1
1701,Shot your shot with “you come here often?”,1
1702,“Venmo me”,1
1703,“Don’t talk to me”,1
1704,"“Call me, beep me, if you wanna reach me”",1
1705,Please don’t put your OnlyFans link here”,1
1706,“My DM’s are closed”,1
1707,“*Your name* signed off”,1
1708,"“Disregard females, acquire currency”",1
1709,Become one of those fake dating adverts: “HOT SINGLES IN YOUR AREA!” along with some flame emojis.,1
1710,Insert your CashApp URL and see if your bank total increases,1
1711,“How do I un-update this?”,1
1712,Greedy people get trolled all the time. Because money is the biggest joke!,1
1713,Ever done this? I know I have. My Brother beat the shit out of me though.,1
1714,"Forget humans and animals, even a software can troll you big time.",1
1715,Deception can be very funny sometimes. It depends on what you’re looking at.,1
1716,makeup artist to noy jeno tasnia fariner chamca,1
1717,tasnia fariner makeup budget kto jano? fifty hjr.tmi vuleo prbana eto tk die krte,1
1738,Ever done this? I know I have. My Brother beat the shit out of me though.,1
1739,"Forget humans and animals, even a software can troll you big time.",1
1740,Deception can be very funny sometimes. It depends on what you’re looking at.,1
1741,makeup artist to noy jeno tasnia fariner chamca,1
1742,Now I understand why they slaughter you.,1
1743,Kick the whore,1
1744,"Shoot her wherever you find her, you atheist girl..",1
1746,"a Caucasian male can be called white,",1
1747,"He could be a Caucasian from England, Wales, Scotland, Northern Ireland, or any other number of countries.",1
1751,"nationality is a legal identification of a person in international law, establishing the person as a subject,",1
1752,We need this information to make sure that we’re giving equal opportunities to all candidates.“,1
1753,Those people should be suspended.,1
1754,This is really insulting to say that,1
1755,"These comments are very stupid, idiotic, scary and fake",1
1757,Appear tonight and kill me?,1
1761,excuse the crimes of Islam rather than get rid of them.,1
1762,"I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism",1
1768,Or religion er thik nai. or god bhul god,1
1769,tumi to thik moto kothai bolte paro na. facebook e ki koro,1
1797,Why do Muslims force women to cover up and stay at home?,1
1798,I hate Lucky Charms,1
1799,The police have to take any terrorist,1
1800,This video is worth going viral.,1
1801,Nuclear weapons pose a threat to everyone.,1
1802,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
1803,The police have to take any terrorist,1
1804,Three main line railway stations were closed,1
1805,The key witness for the prosecution was offered police protection after she received ,1
1806,This video is worth going viral.,1
1807,Nuclear weapons pose a threat to everyone.,1
1808,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
1809,The police have to take any terrorist,1
1810,Three main line railway stations were closed,1
1811,The key witness for the prosecution was offered police protection after she received ,1
1853,Tomar dara eta jiboneo hobena,1
1855,How cruel you are,1
1856,Samne election astece dekhbone k ki kore,1
1858,Why do you talk so badly?,1
1859,The country will not improve by you,1
1860,What Muslim are you talking about you idiot ,1
1866,U are poor people,1
1876,My friends and me got called niggers by this Mexican chick . ,1
1877,Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?,1
1878,"As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah",1
1879,Israel and US have the same enemies.,1
1880,Bangladesh is a looser country ,1
1881,Bangladesh are allout o 100 runs.,1
1883,Me your big friend from bangladesh,1
1885,Hahaha!  Well take care then. ,1
1886,Heroalom is fool of bangladesh actor,1
1900,Ho ha ha u are mad,1
1901,Israil the bad country ,1
1903,Kill u are,1
1904,Killed girls,1
1907,London er mto khrp ase r ,1
1909,Hindu fuck,1
1979,Ha ha u sells condom ,1
1980,U are nosty human,1
1981,World war come ,1
1982,Lol boys,1
1983,you are mad of the whole world,1
2024,Yeah thats picture is as like hero alom,1
2025,Tiktok id chalaw how funny you are,1
2043,"I’m not sure about aliens, but people like you do exist.",1
2044,Thank you so much for wasting our time.,1
2045,I can’t believe people do this for living.,1
2046,"And, I’m still here finding where’s the joke.",1
2047,"Oh, what did you just post?",1
2048,"Life is important, don’t waste your time on this video.",1
2049,Chanel like it has to be telecasted in jail.,1
2050,"I’m speechless, have no words to share!",1
2051,"What you’re trying to prove with this, huh?",1
2052,"What you’re trying to prove with this, huh?",1
2053,"Waiting to go to mars, to save from such people.",1
2054,How crazy you can be? This guy: Yes!,1
2055,"Your posts always brighten up my feed!""",1
2064,Why do Muslims force women to cover up and stay at home?,1
2065,I hate Lucky Charms,1
2066,The police have to take any terrorist,1
2067,This video is worth going viral.,1
2068,Nuclear weapons pose a threat to everyone.,1
2069,It is hoped that the kidnappers will not carry out their threat to kill the hostages.,1
2070,The police have to take any terrorist,1
2071,Three main line railway stations were closed,1
2072,The key witness for the prosecution was offered police protection after she received ,1
2111,Yeah thats picture is as like hero alom,1
2113,"After a few years when you watch this, you should proud.",1
2114,Only you’re laughing and no one else.,1
2115,Can you bring something new next time?,1
2116,"That’s nice content. Not the best one, but still something different.",1
2117,"I’m just tired of your videos, there are all the same.",1
2118,"And again, you failed to impress me with your content.",1
2119,I wish I haven’t watched this video.,1
2120,Why are you doing even on earth?,1
2121,"Just because of people like you, even aliens are afraid to come to earth.",1
2122,Let me forward this to your family and see their reaction.,1
2123,So happy to know that I’m not dumb like you.,1
2124,I need at least two days to recover from this.,1
2125,"No one gets any worse than this, but you.",1
2126,That’s what happens when you skip school.,1
2127,"No one gets any worse than this, but you.",1
2128,That’s what happens when you skip school.,1
2129,We can expect this only from you.,1
2130,"Haha, this is not funny at all.",1
2143,shame of you,1
2145,Let me forward this to your family and see their reaction.,1
2146,So happy to know that I’m not dumb like you.,1
2147,I need at least two days to recover from this.,1
2148,"No one gets any worse than this, but you.",1
2149,That’s what happens when you skip school.,1
2150,We can expect this only from you.,1
2151,"Haha, this is not funny at all.",1
2152,"Give me millions and still, I won’t do this.",1
2153,"I can’t take such content anymore, I’m going.",1
2154,My brain just stopped working after this video.,1
2155,Please stop embarrassing yourself.,1
2156,My friend suggested your channel and I loved this.,1
2157,Can’t take my eyes off this video.,1
2158,Who else also watched it four times?,1
2159,Such a masterpiece video.,1
2160,By far the best video on TikTok I’ve seen.,1
2161,"You’re gaining followers, happy for you.",1
2162,"Keep posting, your videos are amazing.",1
2163,"Thanks for making me smile, I need this.",1
2164,"Not going to lie, but you’re one of the best tiktoker.",1
2168,Yeah thats picture is as like hero alom,1
2173,Yeah thats picture is as like hero alom,1
2177,Ha ha u sells condom ,1
2178,U are nosty human,1
2179,World war come ,1
2180,you are mad of the whole world,1
2204,He drank alcohol and beat his wife,1
2205,say earth flat like a carpet is an idiot.,1
2206,the prophet Muhamad s.w.s declared islam afull religion,1
2208,Why do Muslims force women to cover up and stay at home?,1
2256,Haha you are a bad student,1
2258,This video is worth going viral.,1
2259,"You are the next tik tok super star, my friend.",1
